asset,model,level,n,n_dropped,n_hits,expected_hits,hit_rate,kupiec_lr,kupiec_p,ind_lr,ind_p,cc_lr,cc_p,n00,n01,n10,n11,pi01,pi11,longest_run,runs_of_2_or_more,fz0_mean,fz0_n,small_sample,backtest_hash
BTC-USD,autoarima,0.01,2791,0,47,27.91,0.01683984235041204,10.941476393509561,0.00094035207973679744,0.052411750818691871,0.81891855988072582,11.00776010044973,0.004070945283019229,2697,46,46,1,0.016769959897921984,0.021276595744680851,2,1,-1.9986545351672862,2791,False,76240f7beccff5ab6408b53c2b919d4bcf3e072946702e37dfc4fdc27e24fb7e
BTC-USD,autoarima,0.025000000000000001,2791,0,72,69.775000000000006,0.025797205302758867,0.072028660912678788,0.78840563321537926,3.9046603599446144,0.048152359627426609,3.9783344727482017,0.13680930783563633,2651,67,67,5,0.024650478292862398,0.069444444444444448,3,4,-2.4079149390248515,2791,False,4c50cbe48cc7d88e2f9945e080b54edb45e77b8acbd1c280e07787874f1c05f9
BTC-USD,autoarima,0.050000000000000003,2791,0,114,139.55000000000001,0.04084557506270154,5.2382301634172563,0.022095741479015576,1.1216523492909118,0.28956293843901948,6.3407175656544723,0.041988530436971393,2569,107,107,7,0.039985052316890882,0.061403508771929821,3,6,-2.6642879279161447,2791,False,eeea6931fcaf70cc2746a24db715c197e8184de907c6c7afd1f9bc22d4567832
BTC-USD,autoets,0.01,2791,0,49,27.91,0.017556431386599784,13.139240572998062,0.00028917504299135253,0.022275154155579457,0.88135744689800866,13.176846206601567,0.0013762083919488387,2693,48,48,1,0.017511856986501276,0.020408163265306121,2,1,-1.9714308266518306,2791,False,603d29040795e5fcce239a6b9329053453c219981d2f716a1e8f81a5c184d557
BTC-USD,autoets,0.025000000000000001,2791,0,76,69.775000000000006,0.027230383375134361,0.55380026221882872,0.45676905319319394,0.38996799763538093,0.53231622402077439,0.94835867825975129,0.62239562266877368,2641,73,73,3,0.026897568165070006,0.039473684210526314,2,3,-2.3795701758401018,2791,False,07883e74e45df5e4d73ac7ff7a68fb143e978e3df8cd8e2a6bb05c0b7d70e51b
BTC-USD,autoets,0.050000000000000003,2791,0,118,139.55000000000001,0.042278753135077035,3.6884306073949347,0.054791147608500394,2.8892886993281763,0.089170286215368544,6.5615455735721753,0.037599189420424894,2563,109,109,9,0.040793413173652697,0.076271186440677971,3,7,-2.6322782701221299,2791,False,10de993199d2e800990135d1cc3a9e6fe7e94adb3bc07610c1efad06b3ba25f2
BTC-USD,chronos,0.01,2791,0,48,27.91,0.017198136868505912,12.019159078264181,0.00052656454322820773,0.035701895522208815,0.85013243427206175,12.069462058615443,0.0023941403943539903,2695,47,47,1,0.017140773158278628,0.020833333333333332,2,1,-1.9893223346570388,2791,False,7654c82bba74b42422c0e92290f2668a9fc57bd72a36c63f306da27cd06ddec0
BTC-USD,chronos,0.025000000000000001,2791,0,82,69.775000000000006,0.0293801504836976,2.0817315022009097,0.14907099326024428,0.07837555004209662,0.77951100469695866,2.1691230671931407,0.33804997696151473,2628,80,80,2,0.029542097488921712,0.024390243902439025,2,2,-2.4329145684535107,2791,False,b4dacd93ff27490d88b1d7e432bde65cb1000d49e46cd3cd5d5eda8e4f77b8cc
BTC-USD,chronos,0.050000000000000003,2791,0,126,139.55000000000001,0.045145109279828018,1.4295830509784082,0.23183249682829335,0.30994233410297056,0.57771557359078751,1.7293475343260525,0.42118893587809236,2545,119,119,7,0.044669669669669669,0.055555555555555552,3,6,-2.7015879446865898,2791,False,6f994a2075b78bbcc3793555b82c65753d29bd3c613abaedf3fa255f9389490f
BTC-USD,ewma,0.01,2791,0,57,27.91,0.02042278753135077,23.530891091314061,1.2292420591537522e-06,0.025399570719059739,0.8733754607325237,23.577465894563943,7.5895902973535812e-06,2677,56,56,1,0.020490303695572632,0.017543859649122806,2,1,-1.7996512706114434,2791,False,8ad818844a828dea02ee39eeb9e67040a83c1bacf99d6f7beea27c7bb3d7b0c5
