asset,config,fit_origin,fit_status,fallback,n_rows,n_equations,omega_store,alpha_store,beta_store,store_max_rel_residual,alpha_plus_beta_store,store_recursion_reproduced,omega_ref,alpha_ref,beta_ref,alpha_plus_beta_ref,fallback_ref,ref_max_rel_residual,beta_ref_pow_window,alpha_plus_beta_governing
BTC-USD,garch11_t,499,fallback=ewma|flag=8,True,21,20,-3.8697667122088227e-17,0.060000000000006382,0.94000000000001627,2.2422527863968587e-13,1.0000000000000226,True,2.3271767857021492e-11,0.059759611669529797,0.94024041620557197,1.0000000278751016,True,0.0010781814529710915,4.1634916140434104e-14,1.0000000278751016
BTC-USD,garch11_t,520,fallback=ewma|flag=8,True,21,20,-2.0190513962760305e-17,0.060000000000015929,0.93999999999999861,1.7531197601289774e-12,1.0000000000000147,True,2.3041171103374127e-11,0.060100937359714598,0.93989908977288361,1.0000000271325982,True,0.00061684572885369678,3.4722781602537955e-14,1.0000000271325982
BTC-USD,garch11_t,541,fallback=ewma|flag=8,True,21,20,1.6121244811516632e-16,0.059999999999956422,0.93999999999982653,8.462476909503919e-13,0.99999999999978295,True,2.1067278778121969e-11,0.070737594998227293,0.92926240970623275,1.0000000047044599,True,0.081439194331151932,1.1726941698344778e-16,1.0000000047044599
BTC-USD,garch11_t,562,fallback=ewma|flag=8,True,21,20,-1.3775061809365733e-17,0.05999999999995187,0.94000000000003592,4.2018769661288248e-13,0.99999999999998779,True,2.0789778249400174e-11,0.066409801342232302,0.93359020007751436,1.0000000014197468,True,0.0068083497989485106,1.1971322482479239e-15,1.0000000014197468
BTC-USD,garch11_t,583,fallback=ewma|flag=8,True,21,20,-3.7120179154433164e-17,0.06000000000000294,0.94000000000002393,1.3933141053169088e-12,1.0000000000000269,True,2.709857677040871e-11,0.070832659013538204,0.92917358342463319,1.0000062424381717,True,0.15608170444820746,1.1179621905572009e-16,1.0000062424381717
BTC-USD,garch11_t,604,fallback=ewma|flag=8,True,21,20,1.0286160758515126e-16,0.059999999999838183,0.93999999999994066,1.8770086100381129e-12,0.99999999999977884,True,2.0922193629577837e-11,0.059543086075473602,0.94045702044631263,1.0000001065217865,True,0.0012903059327181161,4.6717154975014342e-14,1.0000001065217865
BTC-USD,garch11_t,625,fallback=ewma|flag=8,True,21,20,-2.2247884384160251e-16,0.060000000000053455,0.94000000000004957,1.3126552361350079e-12,1.000000000000103,True,1.7528260869707574e-11,0.058964799848629998,0.94103520781062322,1.0000000076592532,True,0.0087204928264379925,6.3523759650740867e-14,1.0000000076592532
BTC-USD,garch11_t,646,fallback=ewma|flag=8,True,21,20,2.9285961055691717e-16,0.060000000000060116,0.93999999999983563,1.0634998536029317e-12,0.99999999999989575,True,1.6352932348056147e-11,0.062041704660325901,0.93795881437765083,1.0000005190379768,True,0.0043678241715466347,1.235618773146876e-14,1.0000005190379768
BTC-USD,garch11_t,667,fallback=ewma|flag=8,True,21,20,3.98648350695546e-17,0.059999999999992171,0.94000000000000083,5.8931276951142644e-13,0.99999999999999301,True,1.4234416378744008e-11,0.063177098383629601,0.93682290676524682,1.0000000051488764,True,0.018986743888578808,6.7414090867240241e-15,1.0000000051488764
BTC-USD,garch11_t,688,fallback=ewma|flag=8,True,21,20,-1.4110388596052488e-16,0.059999999999998055,0.94000000000004236,1.6610933002472027e-13,1.0000000000000404,True,3.3431547033087517e-06,0.075740798378659505,0.92425942522824323,1.0000002236069023,True,0.057060007766842773,7.8875843139076911e-18,1.0000002236069023
