asset,regime,kind,days,first_date,last_date
BTC-USD,gfc,headline,0,,
BTC-USD,covid,headline,90,2020-02-01 00:00:00+00:00,2020-04-30 00:00:00+00:00
BTC-USD,tightening_2022,headline,304,2022-01-01 00:00:00+00:00,2022-10-31 00:00:00+00:00
BTC-USD,spike_2024_08,headline,31,2024-08-01 00:00:00+00:00,2024-08-31 00:00:00+00:00
BTC-USD,calm,headline,2366,2018-12-31 00:00:00+00:00,2026-08-21 00:00:00+00:00
BTC-USD,gfc_wide,sensitivity,0,,
CAC,gfc,headline,149,2008-09-01 00:00:00+00:00,2009-03-31 00:00:00+00:00
CAC,covid,headline,62,2020-02-03 00:00:00+00:00,2020-04-30 00:00:00+00:00
CAC,tightening_2022,headline,214,2022-01-03 00:00:00+00:00,2022-10-31 00:00:00+00:00
CAC,spike_2024_08,headline,22,2024-08-01 00:00:00+00:00,2024-08-30 00:00:00+00:00
CAC,calm,headline,4591,2006-12-13 00:00:00+00:00,2026-08-21 00:00:00+00:00
CAC,gfc_wide,sensitivity,510,2007-07-02 00:00:00+00:00,2009-06-30 00:00:00+00:00
DAX,gfc,headline,147,2008-09-01 00:00:00+00:00,2009-03-31 00:00:00+00:00
DAX,covid,headline,62,2020-02-03 00:00:00+00:00,2020-04-30 00:00:00+00:00
DAX,tightening_2022,headline,214,2022-01-03 00:00:00+00:00,2022-10-31 00:00:00+00:00
DAX,spike_2024_08,headline,22,2024-08-01 00:00:00+00:00,2024-08-30 00:00:00+00:00
DAX,calm,headline,4551,2006-12-13 00:00:00+00:00,2026-08-21 00:00:00+00:00
DAX,gfc_wide,sensitivity,506,2007-07-02 00:00:00+00:00,2009-06-30 00:00:00+00:00
DIA,gfc,headline,146,2008-09-02 00:00:00+00:00,2009-03-31 00:00:00+00:00
DIA,covid,headline,62,2020-02-03 00:00:00+00:00,2020-04-30 00:00:00+00:00
DIA,tightening_2022,headline,209,2022-01-03 00:00:00+00:00,2022-10-31 00:00:00+00:00
DIA,spike_2024_08,headline,22,2024-08-01 00:00:00+00:00,2024-08-30 00:00:00+00:00
DIA,calm,headline,4465,2007-02-23 00:00:00+00:00,2026-08-21 00:00:00+00:00
DIA,gfc_wide,sensitivity,504,2007-07-02 00:00:00+00:00,2009-06-30 00:00:00+00:00
ETH-USD,gfc,headline,0,,
ETH-USD,covid,headline,90,2020-02-01 00:00:00+00:00,2020-04-30 00:00:00+00:00
ETH-USD,tightening_2022,headline,304,2022-01-01 00:00:00+00:00,2022-10-31 00:00:00+00:00
ETH-USD,spike_2024_08,headline,31,2024-08-01 00:00:00+00:00,2024-08-31 00:00:00+00:00
ETH-USD,calm,headline,2366,2018-12-31 00:00:00+00:00,2026-08-21 00:00:00+00:00
ETH-USD,gfc_wide,sensitivity,0,,
HSI,gfc,headline,143,2008-09-01 00:00:00+00:00,2009-03-31 00:00:00+00:00
HSI,covid,headline,61,2020-02-03 00:00:00+00:00,2020-04-29 00:00:00+00:00
HSI,tightening_2022,headline,204,2022-01-03 00:00:00+00:00,2022-10-31 00:00:00+00:00
HSI,spike_2024_08,headline,22,2024-08-01 00:00:00+00:00,2024-08-30 00:00:00+00:00
HSI,calm,headline,4398,2007-01-11 00:00:00+00:00,2026-08-21 00:00:00+00:00
HSI,gfc_wide,sensitivity,491,2007-07-03 00:00:00+00:00,2009-06-30 00:00:00+00:00
KOSPI,gfc,headline,145,2008-09-01 00:00:00+00:00,2009-03-31 00:00:00+00:00
KOSPI,covid,headline,62,2020-02-03 00:00:00+00:00,2020-04-29 00:00:00+00:00
KOSPI,tightening_2022,headline,203,2022-01-03 00:00:00+00:00,2022-10-31 00:00:00+00:00
KOSPI,spike_2024_08,headline,21,2024-08-01 00:00:00+00:00,2024-08-30 00:00:00+00:00
KOSPI,calm,headline,4406,2007-01-09 00:00:00+00:00,2026-08-21 00:00:00+00:00
KOSPI,gfc_wide,sensitivity,494,2007-07-02 00:00:00+00:00,2009-06-30 00:00:00+00:00
NDX,gfc,headline,146,2008-09-02 00:00:00+00:00,2009-03-31 00:00:00+00:00
NDX,covid,headline,62,2020-02-03 00:00:00+00:00,2020-04-30 00:00:00+00:00
NDX,tightening_2022,headline,209,2022-01-03 00:00:00+00:00,2022-10-31 00:00:00+00:00
NDX,spike_2024_08,headline,22,2024-08-01 00:00:00+00:00,2024-08-30 00:00:00+00:00
NDX,calm,headline,4503,2006-12-28 00:00:00+00:00,2026-08-21 00:00:00+00:00
NDX,gfc_wide,sensitivity,504,2007-07-02 00:00:00+00:00,2009-06-30 00:00:00+00:00
NKX,gfc,headline,140,2008-09-01 00:00:00+00:00,2009-03-31 00:00:00+00:00
NKX,covid,headline,60,2020-02-03 00:00:00+00:00,2020-04-30 00:00:00+00:00
NKX,tightening_2022,headline,202,2022-01-04 00:00:00+00:00,2022-10-31 00:00:00+00:00
NKX,spike_2024_08,headline,21,2024-08-01 00:00:00+00:00,2024-08-30 00:00:00+00:00
NKX,calm,headline,4372,2007-01-17 00:00:00+00:00,2026-08-21 00:00:00+00:00
NKX,gfc_wide,sensitivity,489,2007-07-02 00:00:00+00:00,2009-06-30 00:00:00+00:00
SPY,gfc,headline,146,2008-09-02 00:00:00+00:00,2009-03-31 00:00:00+00:00
SPY,covid,headline,62,2020-02-03 00:00:00+00:00,2020-04-30 00:00:00+00:00
SPY,tightening_2022,headline,209,2022-01-03 00:00:00+00:00,2022-10-31 00:00:00+00:00
SPY,spike_2024_08,headline,22,2024-08-01 00:00:00+00:00,2024-08-30 00:00:00+00:00
SPY,calm,headline,4465,2007-02-23 00:00:00+00:00,2026-08-21 00:00:00+00:00
SPY,gfc_wide,sensitivity,504,2007-07-02 00:00:00+00:00,2009-06-30 00:00:00+00:00
TWSE,gfc,headline,141,2008-09-01 00:00:00+00:00,2009-03-31 00:00:00+00:00
TWSE,covid,headline,61,2020-02-03 00:00:00+00:00,2020-04-30 00:00:00+00:00
TWSE,tightening_2022,headline,202,2022-01-03 00:00:00+00:00,2022-10-31 00:00:00+00:00
TWSE,spike_2024_08,headline,22,2024-08-01 00:00:00+00:00,2024-08-30 00:00:00+00:00
TWSE,calm,headline,4375,2007-01-11 00:00:00+00:00,2026-08-21 00:00:00+00:00
TWSE,gfc_wide,sensitivity,493,2007-07-02 00:00:00+00:00,2009-06-30 00:00:00+00:00
