asset,loss,regime,variant,statistic,model,mean_loss,mcs_p_value,eliminated_at_step,n,n_dropped,block_length,n_boot,seed,config_hash,in_mcs_0.1,in_mcs_0.25
BTC-USD,crps,covid,headline,range,autoarima,0.027982631299081313,0.0091000000000000004,2,90,0,29,10000,434991236,1a8ccdbd7fbe96ead0512bff382d11eea1a39367d729b9b3bb931a76d8608bea,False,False
BTC-USD,crps,covid,headline,range,autoets,0.028546704582101606,0.2802,4,90,0,29,10000,434991236,1a8ccdbd7fbe96ead0512bff382d11eea1a39367d729b9b3bb931a76d8608bea,True,True
BTC-USD,crps,covid,headline,range,chronos,0.027614919231112506,0.76639999999999997,11,90,0,29,10000,434991236,1a8ccdbd7fbe96ead0512bff382d11eea1a39367d729b9b3bb931a76d8608bea,True,True
BTC-USD,crps,covid,headline,range,ewma,0.028889173030352419,0.54049999999999998,6,90,0,29,10000,434991236,1a8ccdbd7fbe96ead0512bff382d11eea1a39367d729b9b3bb931a76d8608bea,True,True
BTC-USD,crps,covid,headline,range,garch11,0.028224087804208268,0.37390000000000001,5,90,0,29,10000,434991236,1a8ccdbd7fbe96ead0512bff382d11eea1a39367d729b9b3bb931a76d8608bea,True,True
BTC-USD,crps,covid,headline,range,garch11_t,0.028346130244450186,0.64790000000000003,10,90,0,29,10000,434991236,1a8ccdbd7fbe96ead0512bff382d11eea1a39367d729b9b3bb931a76d8608bea,True,True
BTC-USD,crps,covid,headline,range,gjr,0.028423116321710528,0.64790000000000003,8,90,0,29,10000,434991236,1a8ccdbd7fbe96ead0512bff382d11eea1a39367d729b9b3bb931a76d8608bea,True,True
BTC-USD,crps,covid,headline,range,har,0.028072779945646904,0.0061000000000000004,1,90,0,29,10000,434991236,1a8ccdbd7fbe96ead0512bff382d11eea1a39367d729b9b3bb931a76d8608bea,False,False
BTC-USD,crps,covid,headline,range,lgbm,0.028027866929364844,0.075999999999999998,3,90,0,29,10000,434991236,1a8ccdbd7fbe96ead0512bff382d11eea1a39367d729b9b3bb931a76d8608bea,False,False
BTC-USD,crps,covid,headline,range,moirai,0.027562727766891892,1,13,90,0,29,10000,434991236,1a8ccdbd7fbe96ead0512bff382d11eea1a39367d729b9b3bb931a76d8608bea,True,True
BTC-USD,crps,covid,headline,range,naive,0.027851560041073257,0.64790000000000003,9,90,0,29,10000,434991236,1a8ccdbd7fbe96ead0512bff382d11eea1a39367d729b9b3bb931a76d8608bea,True,True
BTC-USD,crps,covid,headline,range,patchtst,0.028228856294791185,0.60519999999999996,7,90,0,29,10000,434991236,1a8ccdbd7fbe96ead0512bff382d11eea1a39367d729b9b3bb931a76d8608bea,True,True
BTC-USD,crps,covid,headline,range,timesfm,0.027587694204364736,0.80269999999999997,12,90,0,29,10000,434991236,1a8ccdbd7fbe96ead0512bff382d11eea1a39367d729b9b3bb931a76d8608bea,True,True
BTC-USD,log_score,covid,headline,range,autoarima,-0.95757288551015762,0.57869999999999999,6,90,0,27,10000,839737373,559cbad39c4474e3b90665f2cb05b9220f1501f43d073d2fa6e34cdc18e7e9eb,True,True
BTC-USD,log_score,covid,headline,range,autoets,-1.090504520995538,0.54290000000000005,4,90,0,27,10000,839737373,559cbad39c4474e3b90665f2cb05b9220f1501f43d073d2fa6e34cdc18e7e9eb,True,True
BTC-USD,log_score,covid,headline,range,chronos,-0.51274792186250018,0.58150000000000002,9,90,0,27,10000,839737373,559cbad39c4474e3b90665f2cb05b9220f1501f43d073d2fa6e34cdc18e7e9eb,True,True
BTC-USD,log_score,covid,headline,range,ewma,-0.42553343377015457,0.47370000000000001,3,90,0,27,10000,839737373,559cbad39c4474e3b90665f2cb05b9220f1501f43d073d2fa6e34cdc18e7e9eb,True,True
BTC-USD,log_score,covid,headline,range,garch11,-0.65670580516669352,0.29630000000000001,1,90,0,27,10000,839737373,559cbad39c4474e3b90665f2cb05b9220f1501f43d073d2fa6e34cdc18e7e9eb,True,True
BTC-USD,log_score,covid,headline,range,garch11_t,-1.6752705871152962,1,13,90,0,27,10000,839737373,559cbad39c4474e3b90665f2cb05b9220f1501f43d073d2fa6e34cdc18e7e9eb,True,True
BTC-USD,log_score,covid,headline,range,gjr,-0.75351398517841994,0.58150000000000002,11,90,0,27,10000,839737373,559cbad39c4474e3b90665f2cb05b9220f1501f43d073d2fa6e34cdc18e7e9eb,True,True
BTC-USD,log_score,covid,headline,range,har,-0.87772276545054573,0.58150000000000002,8,90,0,27,10000,839737373,559cbad39c4474e3b90665f2cb05b9220f1501f43d073d2fa6e34cdc18e7e9eb,True,True
BTC-USD,log_score,covid,headline,range,lgbm,-0.89829095766169287,0.58150000000000002,10,90,0,27,10000,839737373,559cbad39c4474e3b90665f2cb05b9220f1501f43d073d2fa6e34cdc18e7e9eb,True,True
BTC-USD,log_score,covid,headline,range,moirai,-0.60911942443419131,0.39410000000000001,2,90,0,27,10000,839737373,559cbad39c4474e3b90665f2cb05b9220f1501f43d073d2fa6e34cdc18e7e9eb,True,True
