asset,block,tau_crps_vs_qlike,tau_crps_vs_qlike_ex_near_zero,tau_crps_vs_log_score,tau_crps_vs_fz0_avg,tau_qlike_vs_fz0_avg
BTC-USD,crypto,0.58974358974358965,0.58974358974358965,0.61538461538461531,0.48717948717948711,0.58974358974358965
CAC,equity,0.84615384615384603,0.84615384615384603,0.71794871794871784,0.35897435897435892,0.46153846153846145
DAX,equity,0.74358974358974339,0.74358974358974339,0.71794871794871784,0.35897435897435892,0.56410256410256399
DIA,equity,0.89743589743589725,0.89743589743589725,0.79487179487179471,0.76923076923076905,0.76923076923076905
ETH-USD,crypto,0.74358974358974339,0.74358974358974339,0.74358974358974339,0.69230769230769218,0.58974358974358965
HSI,equity,0.89743589743589725,0.89743589743589725,0.71794871794871784,0.53846153846153832,0.64102564102564086
KOSPI,equity,0.74358974358974339,0.74358974358974339,0.66666666666666652,0.71794871794871784,0.56410256410256399
NDX,equity,0.71794871794871784,0.71794871794871784,0.87179487179487158,0.66666666666666652,0.48717948717948711
NKX,equity,0.28205128205128199,0.28205128205128199,0.69230769230769218,0.82051282051282037,0.30769230769230765
SPY,equity,0.92307692307692291,0.92307692307692291,0.71794871794871784,0.64102564102564086,0.71794871794871784
TWSE,equity,0.53846153846153832,0.53846153846153832,0.51282051282051266,0.38461538461538453,-0.025641025641025637
