loss,statistic,block,model,assets,survives_0.1,survives_0.25
crps,range,all,autoarima,11,6,6
crps,range,all,autoets,11,8,7
crps,range,all,chronos,11,5,0
crps,range,all,ewma,11,1,0
crps,range,all,garch11,11,0,0
crps,range,all,garch11_t,11,1,1
crps,range,all,gjr,11,7,7
crps,range,all,har,11,6,5
crps,range,all,lgbm,11,0,0
crps,range,all,moirai,11,10,10
crps,range,all,naive,11,0,0
crps,range,all,patchtst,11,0,0
crps,range,all,timesfm,11,3,0
crps,semi_quadratic,all,autoarima,11,6,5
crps,semi_quadratic,all,autoets,11,8,7
crps,semi_quadratic,all,chronos,11,5,2
crps,semi_quadratic,all,ewma,11,2,0
crps,semi_quadratic,all,garch11,11,0,0
crps,semi_quadratic,all,garch11_t,11,2,0
crps,semi_quadratic,all,gjr,11,7,7
crps,semi_quadratic,all,har,11,6,5
crps,semi_quadratic,all,lgbm,11,0,0
crps,semi_quadratic,all,moirai,11,10,8
crps,semi_quadratic,all,naive,11,0,0
crps,semi_quadratic,all,patchtst,11,0,0
crps,semi_quadratic,all,timesfm,11,4,1
crps,range,equity,autoarima,9,6,6
crps,range,equity,autoets,9,8,7
crps,range,equity,chronos,9,5,0
crps,range,equity,ewma,9,1,0
crps,range,equity,garch11,9,0,0
crps,range,equity,garch11_t,9,1,1
crps,range,equity,gjr,9,7,7
crps,range,equity,har,9,6,5
crps,range,equity,lgbm,9,0,0
crps,range,equity,moirai,9,8,8
crps,range,equity,naive,9,0,0
crps,range,equity,patchtst,9,0,0
crps,range,equity,timesfm,9,2,0
crps,semi_quadratic,equity,autoarima,9,6,5
crps,semi_quadratic,equity,autoets,9,8,7
crps,semi_quadratic,equity,chronos,9,5,2
crps,semi_quadratic,equity,ewma,9,2,0
crps,semi_quadratic,equity,garch11,9,0,0
crps,semi_quadratic,equity,garch11_t,9,2,0
crps,semi_quadratic,equity,gjr,9,7,7
crps,semi_quadratic,equity,har,9,6,5
crps,semi_quadratic,equity,lgbm,9,0,0
crps,semi_quadratic,equity,moirai,9,8,6
crps,semi_quadratic,equity,naive,9,0,0
crps,semi_quadratic,equity,patchtst,9,0,0
crps,semi_quadratic,equity,timesfm,9,3,1
crps,range,crypto,autoarima,2,0,0
crps,range,crypto,autoets,2,0,0
crps,range,crypto,chronos,2,0,0
crps,range,crypto,ewma,2,0,0
crps,range,crypto,garch11,2,0,0
crps,range,crypto,garch11_t,2,0,0
crps,range,crypto,gjr,2,0,0
crps,range,crypto,har,2,0,0
