asset,loss,model,rank
BTC-USD,crps,autoarima,7
CAC,crps,autoarima,7
DAX,crps,autoarima,2
DIA,crps,autoarima,2
ETH-USD,crps,autoarima,6
HSI,crps,autoarima,3
KOSPI,crps,autoarima,5
NDX,crps,autoarima,2
NKX,crps,autoarima,11
SPY,crps,autoarima,3
TWSE,crps,autoarima,5
BTC-USD,crps,autoets,10
CAC,crps,autoets,6
DAX,crps,autoets,3
DIA,crps,autoets,1
ETH-USD,crps,autoets,8
HSI,crps,autoets,6
KOSPI,crps,autoets,2
NDX,crps,autoets,1
NKX,crps,autoets,4
SPY,crps,autoets,2
TWSE,crps,autoets,2
BTC-USD,crps,chronos,3
CAC,crps,chronos,4
DAX,crps,chronos,5
DIA,crps,chronos,7
ETH-USD,crps,chronos,3
HSI,crps,chronos,4
KOSPI,crps,chronos,6
NDX,crps,chronos,6
NKX,crps,chronos,8
SPY,crps,chronos,6
TWSE,crps,chronos,7
BTC-USD,crps,ewma,5
CAC,crps,ewma,9
DAX,crps,ewma,9
DIA,crps,ewma,10
ETH-USD,crps,ewma,9
HSI,crps,ewma,9
KOSPI,crps,ewma,10
NDX,crps,ewma,10
NKX,crps,ewma,7
SPY,crps,ewma,10
TWSE,crps,ewma,8
BTC-USD,crps,garch11,9
CAC,crps,garch11,10
DAX,crps,garch11,10
DIA,crps,garch11,9
ETH-USD,crps,garch11,10
HSI,crps,garch11,10
KOSPI,crps,garch11,9
NDX,crps,garch11,9
NKX,crps,garch11,3
SPY,crps,garch11,9
TWSE,crps,garch11,9
BTC-USD,crps,garch11_t,4
CAC,crps,garch11_t,8
DAX,crps,garch11_t,8
DIA,crps,garch11_t,8
ETH-USD,crps,garch11_t,4
HSI,crps,garch11_t,8
KOSPI,crps,garch11_t,8
NDX,crps,garch11_t,8
NKX,crps,garch11_t,2
SPY,crps,garch11_t,7
TWSE,crps,garch11_t,3
BTC-USD,crps,gjr,11
CAC,crps,gjr,3
DAX,crps,gjr,6
DIA,crps,gjr,3
ETH-USD,crps,gjr,12
HSI,crps,gjr,7
KOSPI,crps,gjr,3
NDX,crps,gjr,3
NKX,crps,gjr,1
SPY,crps,gjr,1
TWSE,crps,gjr,1
BTC-USD,crps,har,6
CAC,crps,har,1
DAX,crps,har,4
DIA,crps,har,4
ETH-USD,crps,har,5
HSI,crps,har,2
KOSPI,crps,har,4
NDX,crps,har,4
NKX,crps,har,5
SPY,crps,har,5
TWSE,crps,har,4
BTC-USD,crps,lgbm,8
CAC,crps,lgbm,11
DAX,crps,lgbm,11
DIA,crps,lgbm,12
ETH-USD,crps,lgbm,7
HSI,crps,lgbm,11
KOSPI,crps,lgbm,11
NDX,crps,lgbm,11
NKX,crps,lgbm,10
SPY,crps,lgbm,12
TWSE,crps,lgbm,11
BTC-USD,crps,moirai,1
CAC,crps,moirai,2
DAX,crps,moirai,1
DIA,crps,moirai,5
ETH-USD,crps,moirai,1
HSI,crps,moirai,1
KOSPI,crps,moirai,1
NDX,crps,moirai,5
NKX,crps,moirai,6
SPY,crps,moirai,4
TWSE,crps,moirai,6
BTC-USD,crps,naive,13
CAC,crps,naive,13
DAX,crps,naive,13
DIA,crps,naive,13
ETH-USD,crps,naive,13
HSI,crps,naive,13
KOSPI,crps,naive,13
NDX,crps,naive,13
NKX,crps,naive,13
SPY,crps,naive,13
TWSE,crps,naive,13
BTC-USD,crps,patchtst,12
CAC,crps,patchtst,12
DAX,crps,patchtst,12
DIA,crps,patchtst,11
ETH-USD,crps,patchtst,11
HSI,crps,patchtst,12
KOSPI,crps,patchtst,12
NDX,crps,patchtst,12
NKX,crps,patchtst,12
SPY,crps,patchtst,11
TWSE,crps,patchtst,12
BTC-USD,crps,timesfm,2
CAC,crps,timesfm,5
DAX,crps,timesfm,7
DIA,crps,timesfm,6
ETH-USD,crps,timesfm,2
HSI,crps,timesfm,5
KOSPI,crps,timesfm,7
