loss,block,model,assets,mean_rank,rank_min,rank_q25,rank_median,rank_q75,rank_max,ranks
crps,all,autoarima,11,4.8181818181818183,2,2.5,5,6.5,11,BTC-USD:7 CAC:7 DAX:2 DIA:2 ETH-USD:6 HSI:3 KOSPI:5 NDX:2 NKX:11 SPY:3 TWSE:5
crps,all,autoets,11,4.0909090909090908,1,2,3,6,10,BTC-USD:10 CAC:6 DAX:3 DIA:1 ETH-USD:8 HSI:6 KOSPI:2 NDX:1 NKX:4 SPY:2 TWSE:2
crps,all,chronos,11,5.3636363636363633,3,4,6,6.5,8,BTC-USD:3 CAC:4 DAX:5 DIA:7 ETH-USD:3 HSI:4 KOSPI:6 NDX:6 NKX:8 SPY:6 TWSE:7
crps,all,ewma,11,8.7272727272727266,5,8.5,9,10,10,BTC-USD:5 CAC:9 DAX:9 DIA:10 ETH-USD:9 HSI:9 KOSPI:10 NDX:10 NKX:7 SPY:10 TWSE:8
crps,all,garch11,11,8.8181818181818183,3,9,9,10,10,BTC-USD:9 CAC:10 DAX:10 DIA:9 ETH-USD:10 HSI:10 KOSPI:9 NDX:9 NKX:3 SPY:9 TWSE:9
crps,all,garch11_t,11,6.1818181818181817,2,4,8,8,8,BTC-USD:4 CAC:8 DAX:8 DIA:8 ETH-USD:4 HSI:8 KOSPI:8 NDX:8 NKX:2 SPY:7 TWSE:3
crps,all,gjr,11,4.6363636363636367,1,2,3,6.5,12,BTC-USD:11 CAC:3 DAX:6 DIA:3 ETH-USD:12 HSI:7 KOSPI:3 NDX:3 NKX:1 SPY:1 TWSE:1
crps,all,har,11,4,1,4,4,5,6,BTC-USD:6 CAC:1 DAX:4 DIA:4 ETH-USD:5 HSI:2 KOSPI:4 NDX:4 NKX:5 SPY:5 TWSE:4
crps,all,lgbm,11,10.454545454545455,7,10.5,11,11,12,BTC-USD:8 CAC:11 DAX:11 DIA:12 ETH-USD:7 HSI:11 KOSPI:11 NDX:11 NKX:10 SPY:12 TWSE:11
crps,all,moirai,11,3,1,1,2,5,6,BTC-USD:1 CAC:2 DAX:1 DIA:5 ETH-USD:1 HSI:1 KOSPI:1 NDX:5 NKX:6 SPY:4 TWSE:6
crps,all,naive,11,13,13,13,13,13,13,BTC-USD:13 CAC:13 DAX:13 DIA:13 ETH-USD:13 HSI:13 KOSPI:13 NDX:13 NKX:13 SPY:13 TWSE:13
crps,all,patchtst,11,11.727272727272727,11,11.5,12,12,12,BTC-USD:12 CAC:12 DAX:12 DIA:11 ETH-USD:11 HSI:12 KOSPI:12 NDX:12 NKX:12 SPY:11 TWSE:12
crps,all,timesfm,11,6.1818181818181817,2,5,7,7.5,10,BTC-USD:2 CAC:5 DAX:7 DIA:6 ETH-USD:2 HSI:5 KOSPI:7 NDX:7 NKX:9 SPY:8 TWSE:10
crps,equity,autoarima,9,4.4444444444444446,2,2,3,5,11,CAC:7 DAX:2 DIA:2 HSI:3 KOSPI:5 NDX:2 NKX:11 SPY:3 TWSE:5
crps,equity,autoets,9,3,1,2,2,4,6,CAC:6 DAX:3 DIA:1 HSI:6 KOSPI:2 NDX:1 NKX:4 SPY:2 TWSE:2
crps,equity,chronos,9,5.8888888888888893,4,5,6,7,8,CAC:4 DAX:5 DIA:7 HSI:4 KOSPI:6 NDX:6 NKX:8 SPY:6 TWSE:7
crps,equity,ewma,9,9.1111111111111107,7,9,9,10,10,CAC:9 DAX:9 DIA:10 HSI:9 KOSPI:10 NDX:10 NKX:7 SPY:10 TWSE:8
crps,equity,garch11,9,8.6666666666666661,3,9,9,10,10,CAC:10 DAX:10 DIA:9 HSI:10 KOSPI:9 NDX:9 NKX:3 SPY:9 TWSE:9
crps,equity,garch11_t,9,6.666666666666667,2,7,8,8,8,CAC:8 DAX:8 DIA:8 HSI:8 KOSPI:8 NDX:8 NKX:2 SPY:7 TWSE:3
crps,equity,gjr,9,3.1111111111111112,1,1,3,3,7,CAC:3 DAX:6 DIA:3 HSI:7 KOSPI:3 NDX:3 NKX:1 SPY:1 TWSE:1
