asset,loss,pairs,changed_fixed_vs_auto,lost_fixed_to_auto,gained_fixed_to_auto,changed_fixed_vs_twice_auto,lost_fixed_to_twice_auto,gained_fixed_to_twice_auto,changed_auto_vs_twice_auto,lost_auto_to_twice_auto,gained_auto_to_twice_auto
BTC-USD,crps,78,1,0,1,1,0,1,0,0,0
BTC-USD,fz0_0p01,78,1,0,1,1,0,1,0,0,0
BTC-USD,fz0_0p025,78,0,0,0,0,0,0,0,0,0
BTC-USD,fz0_0p05,78,1,1,0,1,1,0,0,0,0
BTC-USD,fz0_avg,78,1,1,0,1,1,0,0,0,0
BTC-USD,log_score,78,0,0,0,0,0,0,0,0,0
BTC-USD,pinball_0p01,78,0,0,0,0,0,0,0,0,0
BTC-USD,pinball_0p025,78,0,0,0,0,0,0,0,0,0
BTC-USD,pinball_0p05,78,1,0,1,1,0,1,0,0,0
BTC-USD,pinball_avg,78,1,0,1,1,0,1,0,0,0
BTC-USD,qlike,78,0,0,0,0,0,0,0,0,0
BTC-USD,qlike_ex_near_zero,78,0,0,0,0,0,0,0,0,0
CAC,crps,78,0,0,0,0,0,0,0,0,0
CAC,fz0_0p01,78,1,0,1,1,0,1,0,0,0
CAC,fz0_0p025,78,4,0,4,4,0,4,0,0,0
CAC,fz0_0p05,78,0,0,0,0,0,0,0,0,0
CAC,fz0_avg,78,3,0,3,3,0,3,0,0,0
CAC,log_score,78,0,0,0,0,0,0,0,0,0
CAC,pinball_0p01,78,5,0,5,5,0,5,0,0,0
CAC,pinball_0p025,78,3,0,3,3,0,3,0,0,0
CAC,pinball_0p05,78,5,0,5,5,0,5,0,0,0
CAC,pinball_avg,78,3,0,3,3,0,3,0,0,0
CAC,qlike,78,2,0,2,2,0,2,0,0,0
CAC,qlike_ex_near_zero,78,2,0,2,2,0,2,0,0,0
DAX,crps,78,0,0,0,0,0,0,0,0,0
DAX,fz0_0p01,78,3,0,3,2,0,2,1,1,0
DAX,fz0_0p025,78,2,0,2,2,0,2,0,0,0
DAX,fz0_0p05,78,0,0,0,0,0,0,0,0,0
DAX,fz0_avg,78,4,0,4,4,0,4,0,0,0
DAX,log_score,78,0,0,0,0,0,0,0,0,0
DAX,pinball_0p01,78,0,0,0,0,0,0,0,0,0
DAX,pinball_0p025,78,2,0,2,2,0,2,0,0,0
DAX,pinball_0p05,78,1,0,1,1,0,1,0,0,0
DAX,pinball_avg,78,1,0,1,1,0,1,0,0,0
DAX,qlike,78,1,0,1,1,0,1,0,0,0
DAX,qlike_ex_near_zero,78,1,0,1,1,0,1,0,0,0
DIA,crps,78,0,0,0,0,0,0,0,0,0
