asset,fits,student_t,gaussian_fallback,unrecovered,nu_at_bound_1e-9,nu_at_bound_1e-4,share_at_bound_of_fits,share_at_bound_of_student_t
BTC-USD,133,118,15,0,0,0,0,0
CAC,240,240,0,0,0,0,0,0
DAX,238,238,0,0,0,0,0,0
DIA,234,231,3,0,0,0,0,0
ETH-USD,133,133,0,0,0,0,0,0
HSI,230,230,0,0,19,19,0.082608695652173908,0.082608695652173908
KOSPI,231,231,0,0,12,15,0.051948051948051951,0.051948051948051951
NDX,236,236,0,0,6,6,0.025423728813559324,0.025423728813559324
NKX,229,229,0,0,18,19,0.078602620087336247,0.078602620087336247
SPY,234,234,0,0,2,2,0.0085470085470085479,0.0085470085470085479
TWSE,229,229,0,0,0,0,0,0
