asset,model,signal,k,n,rate
BTC-USD,autoarima,optimizer status != 0 (J1 re-fit probe),133,133,133/133 = 100.00%
BTC-USD,autoets,not instrumented,,,not instrumented
BTC-USD,chronos,not instrumented,,,not instrumented
BTC-USD,ewma,not instrumented,,,not instrumented
BTC-USD,garch11,"ewma fallback (store, fit_status)",0,133,0/133 = 0.00%
BTC-USD,garch11_t,"ewma fallback (store, fit_status)",15,133,15/133 = 11.28%
BTC-USD,gjr,"ewma fallback (store, fit_status)",0,133,0/133 = 0.00%
BTC-USD,har,not instrumented,,,not instrumented
BTC-USD,lgbm,not instrumented,,,not instrumented
BTC-USD,moirai,not instrumented,,,not instrumented
BTC-USD,naive,not instrumented,,,not instrumented
BTC-USD,patchtst,not instrumented,,,not instrumented
BTC-USD,timesfm,not instrumented,,,not instrumented
CAC,autoarima,optimizer status != 0 (J1 re-fit probe),235,240,235/240 = 97.92%
CAC,autoets,not instrumented,,,not instrumented
CAC,chronos,not instrumented,,,not instrumented
CAC,ewma,not instrumented,,,not instrumented
CAC,garch11,"ewma fallback (store, fit_status)",0,240,0/240 = 0.00%
CAC,garch11_t,"ewma fallback (store, fit_status)",0,240,0/240 = 0.00%
CAC,gjr,"ewma fallback (store, fit_status)",0,240,0/240 = 0.00%
CAC,har,not instrumented,,,not instrumented
CAC,lgbm,not instrumented,,,not instrumented
CAC,moirai,not instrumented,,,not instrumented
CAC,naive,not instrumented,,,not instrumented
CAC,patchtst,not instrumented,,,not instrumented
CAC,timesfm,not instrumented,,,not instrumented
DAX,autoarima,optimizer status != 0 (J1 re-fit probe),236,238,236/238 = 99.16%
DAX,autoets,not instrumented,,,not instrumented
DAX,chronos,not instrumented,,,not instrumented
DAX,ewma,not instrumented,,,not instrumented
DAX,garch11,"ewma fallback (store, fit_status)",0,238,0/238 = 0.00%
DAX,garch11_t,"ewma fallback (store, fit_status)",0,238,0/238 = 0.00%
DAX,gjr,"ewma fallback (store, fit_status)",0,238,0/238 = 0.00%
DAX,har,not instrumented,,,not instrumented
DAX,lgbm,not instrumented,,,not instrumented
DAX,moirai,not instrumented,,,not instrumented
DAX,naive,not instrumented,,,not instrumented
DAX,patchtst,not instrumented,,,not instrumented
DAX,timesfm,not instrumented,,,not instrumented
DIA,autoarima,optimizer status != 0 (J1 re-fit probe),228,234,228/234 = 97.44%
