asset,model,loss,origins,n,n_dropped,mean,bandwidth,se,se_iid
BTC-USD,autoarima,crps,2791,2791,0,0.016344544279227474,8,0.00049671520394773923,0.00034724545319811791
BTC-USD,autoarima,log_score,2791,2791,0,-2.0703286883317946,8,0.044429339487927516,0.038762621677470376
BTC-USD,autoarima,pinball_0p01,2791,2791,0,0.0012769397597864763,8,0.00016865325448894882,0.00015965207223471916
BTC-USD,autoarima,pinball_0p025,2791,2791,0,0.0023221304860517739,8,0.00018764226342312795,0.00017130225596997782
BTC-USD,autoarima,pinball_0p05,2791,2791,0,0.0037060835061558223,8,0.00020964831560922826,0.00018219137715169042
BTC-USD,autoarima,pinball_avg,2791,2791,0,0.0024350512506646905,8,0.00018701971276228145,0.00016993652910492449
BTC-USD,autoarima,qlike,2791,2791,0,0.3548677852412484,8,0.034272298241886295,0.033992001696306555
BTC-USD,autoarima,fz0_0p01,2791,2791,0,-1.9986545351672862,8,0.17603787708587926,0.16809325028346608
BTC-USD,autoarima,fz0_0p025,2791,2791,0,-2.4079149390248515,8,0.093390860006800441,0.086775614712666135
BTC-USD,autoarima,fz0_0p05,2791,2791,0,-2.6642879279161447,8,0.062212572781599883,0.055413806421519066
BTC-USD,autoarima,fz0_avg,2791,2791,0,-2.3569524673694273,8,0.10951144647970013,0.10271518787064994
BTC-USD,autoets,crps,2791,2791,0,0.016471031686980688,8,0.00050439817690173835,0.00034587320857539861
BTC-USD,autoets,log_score,2791,2791,0,-2.0530196236949596,8,0.043150175197891355,0.037408805026310804
BTC-USD,autoets,pinball_0p01,2791,2791,0,0.0013050121654908391,8,0.00016799138782022834,0.00015638350188561224
BTC-USD,autoets,pinball_0p025,2791,2791,0,0.0023725303211534626,8,0.00018878878878822144,0.0001688451435155788
BTC-USD,autoets,pinball_0p05,2791,2791,0,0.0037999581635175437,8,0.00021294559125583111,0.00018016101021245398
BTC-USD,autoets,pinball_avg,2791,2791,0,0.0024925002167206149,8,0.00018831316611774815,0.00016741844284849913
BTC-USD,autoets,qlike,2791,2791,0,0.38442709371288231,8,0.036361085471012543,0.035560786674578064
BTC-USD,autoets,fz0_0p01,2791,2791,0,-1.9714308266518306,8,0.17068755490362253,0.15908974732540937
BTC-USD,autoets,fz0_0p025,2791,2791,0,-2.3795701758401018,8,0.091608398835409596,0.083255831203675829
BTC-USD,autoets,fz0_0p05,2791,2791,0,-2.6322782701221299,8,0.061588081423925904,0.053736648235934208
BTC-USD,autoets,fz0_avg,2791,2791,0,-2.3277597575380207,8,0.10693164340158617,0.097966768922337841
BTC-USD,chronos,crps,2791,2791,0,0.016124428223092423,8,0.0004992535216373613,0.00035694786369860128
BTC-USD,chronos,log_score,2791,2791,0,-2.0805739032196833,8,0.057103288180125063,0.05161146319847202
BTC-USD,chronos,pinball_0p01,2791,2791,0,0.0012436141302323803,8,0.0001786981260751513,0.00016856260590640697
BTC-USD,chronos,pinball_0p025,2791,2791,0,0.0022480966356345057,8,0.00019515695869520063,0.00017933595460290595
BTC-USD,chronos,pinball_0p05,2791,2791,0,0.0035728636609703682,8,0.00021394838253776919,0.0001897968046583734
BTC-USD,chronos,pinball_avg,2791,2791,0,0.0023548581422790844,8,0.00019411256002294122,0.00017794257125741623
BTC-USD,chronos,qlike,2791,2791,0,0.34573979215667566,8,0.038163672300608173,0.035090802108702288
BTC-USD,chronos,fz0_0p01,2791,2791,0,-1.9893223346570388,8,0.22154142655029865,0.20928561508141361
BTC-USD,chronos,fz0_0p025,2791,2791,0,-2.4329145684535107,8,0.11312252140669191,0.10484688433463983
BTC-USD,chronos,fz0_0p05,2791,2791,0,-2.7015879446865898,8,0.072519331378200338,0.065379482437517622
BTC-USD,chronos,fz0_avg,2791,2791,0,-2.3746082825990462,8,0.13466357416891064,0.12574658232559682
BTC-USD,ewma,crps,2791,2791,0,0.016328640851015531,8,0.00050097585072313806,0.00035703299821178425
BTC-USD,ewma,log_score,2791,2791,0,-2.0297837088397497,8,0.058130071030704243,0.053210631834314417
BTC-USD,ewma,pinball_0p01,2791,2791,0,0.0013586860144613651,8,0.00018602190390446419,0.00017472503359259339
BTC-USD,ewma,pinball_0p025,2791,2791,0,0.0023861494683484882,8,0.00020385193116583474,0.00018604736772099084
BTC-USD,ewma,pinball_0p05,2791,2791,0,0.0037600187245165288,8,0.00022375931896794483,0.00019596906060384857
BTC-USD,ewma,pinball_avg,2791,2791,0,0.0025016180691087944,8,0.00020304759269865546,0.00018448655131515055
BTC-USD,ewma,qlike,2791,2791,0,0.44098916459810655,8,0.041335233770886937,0.040380280497910925
BTC-USD,ewma,fz0_0p01,2791,2791,0,-1.7996512706114434,8,0.23633679293020121,0.2232698463959496
BTC-USD,ewma,fz0_0p025,2791,2791,0,-2.31496481049449,8,0.12068908799132935,0.11187096298950143
BTC-USD,ewma,fz0_0p05,2791,2791,0,-2.6062549321281607,8,0.07705036865216916,0.069479142493420312
BTC-USD,ewma,fz0_avg,2791,2791,0,-2.2402903377446979,8,0.14378264211282479,0.13418128831282386
BTC-USD,garch11,crps,2791,2791,0,0.016467032839181463,8,0.00049434713097259661,0.0003500099847328361
BTC-USD,garch11,log_score,2791,2791,0,-2.061011111294587,8,0.047777841449505483,0.041733462640219737
BTC-USD,garch11,pinball_0p01,2791,2791,0,0.0013036159420572345,8,0.00017602984764875082,0.00016607287713195126
BTC-USD,garch11,pinball_0p025,2791,2791,0,0.0023933315070826331,8,0.00019744183850319266,0.00017811563836778589
BTC-USD,garch11,pinball_0p05,2791,2791,0,0.0037929544455044604,8,0.00022057311438609918,0.00018910502448175572
BTC-USD,garch11,pinball_avg,2791,2791,0,0.0024966339648814424,8,0.00019660697234973244,0.00017658251120640099
BTC-USD,garch11,qlike,2791,2791,0,0.41047895157934006,8,0.024784900581972694,0.022174206373313694
BTC-USD,garch11,fz0_0p01,2791,2791,0,-1.9949498316268879,8,0.19259001161945383,0.1832167468422132
BTC-USD,garch11,fz0_0p025,2791,2791,0,-2.368308585274848,8,0.10044256432144612,0.09241502578966386
BTC-USD,garch11,fz0_0p05,2791,2791,0,-2.6243094610463591,8,0.065420001170618164,0.057969507981147639
BTC-USD,garch11,fz0_avg,2791,2791,0,-2.3291892926493651,8,0.1186017121381024,0.11044676229682936
BTC-USD,garch11_t,crps,2791,2791,0,0.016220650476718244,8,0.00050746984132746785,0.00036978631942896748
BTC-USD,garch11_t,log_score,2791,2791,0,-2.1509122373193588,8,0.033676151735225937,0.027967009995892356
BTC-USD,garch11_t,pinball_0p01,2791,2791,0,0.0013095190435832038,8,0.00016360866906297167,0.00015566603835183773
BTC-USD,garch11_t,pinball_0p025,2791,2791,0,0.0023877440777638702,8,0.00019785511699741461,0.00018052859554004775
BTC-USD,garch11_t,pinball_0p05,2791,2791,0,0.0037236501280705175,8,0.00022673974723985354,0.00019992559775886627
BTC-USD,garch11_t,pinball_avg,2791,2791,0,0.002473637749805864,8,0.00019349864495624375,0.00017610768480464279
BTC-USD,garch11_t,qlike,2791,2791,0,0.45938124341134146,8,0.026263162043736268,0.023809270410794
BTC-USD,garch11_t,fz0_0p01,2791,2791,0,-2.0586621495256128,8,0.11495231006112526,0.10966222104053022
