asset,loss,regime,variant,statistic,model,mean_loss,mcs_p_value,eliminated_at_step,n,n_dropped,block_length,n_boot,seed,config_hash,in_mcs_0.1,in_mcs_0.25
BTC-USD,crps,full,headline,range,autoarima,0.01634454427922747,0,2,2791,0,111,10000,698952141,1be3d954f00a75243b9b6a5674e51f1f912be081b06936e7a7e59192c30e6a45,False,False
BTC-USD,crps,full,headline,range,autoets,0.016471031686980653,0,3,2791,0,111,10000,698952141,1be3d954f00a75243b9b6a5674e51f1f912be081b06936e7a7e59192c30e6a45,False,False
BTC-USD,crps,full,headline,range,chronos,0.016124428223092409,0.00040000000000000002,9,2791,0,111,10000,698952141,1be3d954f00a75243b9b6a5674e51f1f912be081b06936e7a7e59192c30e6a45,False,False
BTC-USD,crps,full,headline,range,ewma,0.016328640851015541,0,7,2791,0,111,10000,698952141,1be3d954f00a75243b9b6a5674e51f1f912be081b06936e7a7e59192c30e6a45,False,False
BTC-USD,crps,full,headline,range,garch11,0.016467032839181463,0,6,2791,0,111,10000,698952141,1be3d954f00a75243b9b6a5674e51f1f912be081b06936e7a7e59192c30e6a45,False,False
BTC-USD,crps,full,headline,range,garch11_t,0.016220650476718241,0.00059999999999999995,11,2791,0,111,10000,698952141,1be3d954f00a75243b9b6a5674e51f1f912be081b06936e7a7e59192c30e6a45,False,False
BTC-USD,crps,full,headline,range,gjr,0.016472390415348908,0,4,2791,0,111,10000,698952141,1be3d954f00a75243b9b6a5674e51f1f912be081b06936e7a7e59192c30e6a45,False,False
BTC-USD,crps,full,headline,range,har,0.01633584442156176,0,1,2791,0,111,10000,698952141,1be3d954f00a75243b9b6a5674e51f1f912be081b06936e7a7e59192c30e6a45,False,False
BTC-USD,crps,full,headline,range,lgbm,0.01642982481489717,0.00059999999999999995,10,2791,0,111,10000,698952141,1be3d954f00a75243b9b6a5674e51f1f912be081b06936e7a7e59192c30e6a45,False,False
BTC-USD,crps,full,headline,range,moirai,0.01605718650796303,1,13,2791,0,111,10000,698952141,1be3d954f00a75243b9b6a5674e51f1f912be081b06936e7a7e59192c30e6a45,True,True
BTC-USD,crps,full,headline,range,naive,0.016678466759962197,0,8,2791,0,111,10000,698952141,1be3d954f00a75243b9b6a5674e51f1f912be081b06936e7a7e59192c30e6a45,False,False
BTC-USD,crps,full,headline,range,patchtst,0.01647251015019538,0,5,2791,0,111,10000,698952141,1be3d954f00a75243b9b6a5674e51f1f912be081b06936e7a7e59192c30e6a45,False,False
BTC-USD,crps,full,headline,range,timesfm,0.01607783458933142,0.13400000000000001,12,2791,0,111,10000,698952141,1be3d954f00a75243b9b6a5674e51f1f912be081b06936e7a7e59192c30e6a45,True,False
BTC-USD,crps,full,headline,semi_quadratic,autoarima,0.01634454427922747,0,3,2791,0,111,10000,1070855911,45d68d10c1a8effea531cf3d2212d839cc1f9018f273d510085ce42ac8b29f03,False,False
BTC-USD,crps,full,headline,semi_quadratic,autoets,0.016471031686980653,0,2,2791,0,111,10000,1070855911,45d68d10c1a8effea531cf3d2212d839cc1f9018f273d510085ce42ac8b29f03,False,False
BTC-USD,crps,full,headline,semi_quadratic,chronos,0.016124428223092409,0,9,2791,0,111,10000,1070855911,45d68d10c1a8effea531cf3d2212d839cc1f9018f273d510085ce42ac8b29f03,False,False
BTC-USD,crps,full,headline,semi_quadratic,ewma,0.016328640851015541,0,7,2791,0,111,10000,1070855911,45d68d10c1a8effea531cf3d2212d839cc1f9018f273d510085ce42ac8b29f03,False,False
BTC-USD,crps,full,headline,semi_quadratic,garch11,0.016467032839181463,0,6,2791,0,111,10000,1070855911,45d68d10c1a8effea531cf3d2212d839cc1f9018f273d510085ce42ac8b29f03,False,False
BTC-USD,crps,full,headline,semi_quadratic,garch11_t,0.016220650476718241,0.00050000000000000001,11,2791,0,111,10000,1070855911,45d68d10c1a8effea531cf3d2212d839cc1f9018f273d510085ce42ac8b29f03,False,False
BTC-USD,crps,full,headline,semi_quadratic,gjr,0.016472390415348908,0,4,2791,0,111,10000,1070855911,45d68d10c1a8effea531cf3d2212d839cc1f9018f273d510085ce42ac8b29f03,False,False
BTC-USD,crps,full,headline,semi_quadratic,har,0.01633584442156176,0,1,2791,0,111,10000,1070855911,45d68d10c1a8effea531cf3d2212d839cc1f9018f273d510085ce42ac8b29f03,False,False
BTC-USD,crps,full,headline,semi_quadratic,lgbm,0.01642982481489717,0.00020000000000000001,10,2791,0,111,10000,1070855911,45d68d10c1a8effea531cf3d2212d839cc1f9018f273d510085ce42ac8b29f03,False,False
