asset,dropped,loss,statistic,block_length_headline,block_length_sensitivity,survivors_headline_0.1,survivors_sensitivity_0.1,changed_0.1,entered_0.1,left_0.1,survivors_headline_0.25,survivors_sensitivity_0.25,changed_0.25,entered_0.25,left_0.25
BTC-USD,garch11_t,crps,range,111,111,"moirai, timesfm","moirai, timesfm",False,,,moirai,moirai,False,,
BTC-USD,garch11_t,crps,semi_quadratic,111,111,"moirai, timesfm","moirai, timesfm",False,,,moirai,moirai,False,,
BTC-USD,garch11_t,log_score,range,25,25,"moirai, timesfm","moirai, timesfm",False,,,"moirai, timesfm","moirai, timesfm",False,,
BTC-USD,garch11_t,log_score,semi_quadratic,25,25,"moirai, timesfm","moirai, timesfm",False,,,"moirai, timesfm","moirai, timesfm",False,,
BTC-USD,garch11_t,pinball_0p01,range,23,23,"chronos, garch11, gjr, har, moirai, naive, timesfm","chronos, garch11, gjr, har, moirai, naive, timesfm",False,,,"gjr, moirai, naive, timesfm","gjr, moirai, naive, timesfm",False,,
BTC-USD,garch11_t,pinball_0p01,semi_quadratic,23,23,"chronos, garch11, gjr, har, moirai, naive, timesfm","autoarima, chronos, garch11, gjr, har, moirai, naive, timesfm",True,autoarima,,"gjr, moirai, naive, timesfm","gjr, moirai, naive, timesfm",False,,
BTC-USD,garch11_t,pinball_0p025,range,12,12,"chronos, moirai, timesfm","chronos, moirai, timesfm",False,,,moirai,moirai,False,,
BTC-USD,garch11_t,pinball_0p025,semi_quadratic,12,12,"chronos, moirai, timesfm","chronos, moirai, timesfm",False,,,moirai,moirai,False,,
BTC-USD,garch11_t,pinball_0p05,range,30,30,"chronos, moirai, timesfm","chronos, moirai, timesfm",False,,,moirai,moirai,False,,
BTC-USD,garch11_t,pinball_0p05,semi_quadratic,30,30,"chronos, moirai, timesfm","chronos, moirai, timesfm",False,,,moirai,moirai,False,,
BTC-USD,garch11_t,pinball_avg,range,17,17,"chronos, moirai, timesfm","chronos, moirai, timesfm",False,,,moirai,moirai,False,,
BTC-USD,garch11_t,pinball_avg,semi_quadratic,17,17,"chronos, moirai, timesfm","chronos, moirai, timesfm",False,,,moirai,moirai,False,,
BTC-USD,garch11_t,qlike,range,40,40,"moirai, timesfm","moirai, timesfm",False,,,moirai,moirai,False,,
BTC-USD,garch11_t,qlike,semi_quadratic,40,40,"moirai, timesfm","moirai, timesfm",False,,,moirai,moirai,False,,
BTC-USD,garch11_t,fz0_0p01,range,12,12,"autoarima, autoets, garch11, gjr, har, lgbm, moirai, naive, timesfm","autoarima, autoets, garch11, gjr, har, lgbm, moirai, naive, timesfm",False,,,"autoarima, autoets, garch11, gjr, har, lgbm, moirai, naive, timesfm","autoarima, autoets, gjr, har, lgbm, moirai, naive, timesfm",True,,garch11
BTC-USD,garch11_t,fz0_0p01,semi_quadratic,12,12,"autoarima, autoets, chronos, garch11, gjr, har, lgbm, moirai, naive, timesfm","autoarima, autoets, chronos, garch11, gjr, har, lgbm, moirai, naive, timesfm",False,,,"autoarima, autoets, chronos, garch11, gjr, har, lgbm, moirai, naive, timesfm","autoarima, autoets, chronos, garch11, gjr, har, lgbm, moirai, naive, timesfm",False,,
BTC-USD,garch11_t,fz0_0p025,range,10,10,"autoarima, autoets, chronos, gjr, har, moirai, naive, timesfm","autoarima, autoets, chronos, gjr, har, moirai, naive, timesfm",False,,,moirai,moirai,False,,
BTC-USD,garch11_t,fz0_0p025,semi_quadratic,10,10,"autoarima, autoets, chronos, gjr, har, moirai, naive, timesfm","autoarima, autoets, chronos, gjr, har, moirai, naive, timesfm",False,,,moirai,moirai,False,,
BTC-USD,garch11_t,fz0_0p05,range,13,13,moirai,moirai,False,,,moirai,moirai,False,,
BTC-USD,garch11_t,fz0_0p05,semi_quadratic,13,13,moirai,moirai,False,,,moirai,moirai,False,,
BTC-USD,garch11_t,fz0_avg,range,11,11,"autoarima, autoets, garch11, gjr, har, moirai, naive, timesfm","autoarima, autoets, gjr, har, moirai, naive, timesfm",True,,garch11,"autoarima, autoets, gjr, har, moirai, naive, timesfm","autoarima, autoets, gjr, har, moirai, naive, timesfm",False,,
BTC-USD,garch11_t,fz0_avg,semi_quadratic,11,11,"autoarima, autoets, chronos, garch11, gjr, har, lgbm, moirai, naive, timesfm","autoarima, autoets, chronos, garch11, gjr, har, lgbm, moirai, naive, timesfm",False,,,"autoarima, autoets, gjr, har, moirai, naive, timesfm","gjr, moirai",True,,"autoarima, autoets, har, naive, timesfm"
BTC-USD,garch11_t,qlike_ex_near_zero,range,40,40,"moirai, timesfm","moirai, timesfm",False,,,moirai,moirai,False,,
BTC-USD,garch11_t,qlike_ex_near_zero,semi_quadratic,40,40,"moirai, timesfm","moirai, timesfm",False,,,moirai,moirai,False,,
HSI,gjr,crps,range,143,143,moirai,moirai,False,,,moirai,moirai,False,,
HSI,gjr,crps,semi_quadratic,143,143,moirai,moirai,False,,,moirai,moirai,False,,
HSI,gjr,log_score,range,66,66,"autoarima, autoets, chronos, ewma, garch11_t, har, moirai","autoarima, autoets, chronos, ewma, garch11_t, har, moirai",False,,,"autoarima, autoets, ewma, garch11_t, har, moirai","autoarima, autoets, ewma, garch11_t, har, moirai",False,,
HSI,gjr,log_score,semi_quadratic,66,66,"autoarima, autoets, chronos, ewma, garch11_t, har, moirai","autoarima, autoets, chronos, ewma, garch11_t, har, moirai, timesfm",True,timesfm,,"autoarima, autoets, ewma, garch11_t, har, moirai","autoarima, autoets, chronos, ewma, garch11_t, har, moirai",True,chronos,
HSI,gjr,pinball_0p01,range,62,62,"autoarima, autoets, chronos, ewma, garch11, garch11_t, har, lgbm, moirai, timesfm","autoarima, autoets, chronos, ewma, garch11, garch11_t, har, lgbm, moirai, timesfm",False,,,"autoarima, autoets, chronos, ewma, garch11_t, har, lgbm, moirai, timesfm","autoarima, autoets, chronos, ewma, garch11_t, har, lgbm, moirai, timesfm",False,,
HSI,gjr,pinball_0p01,semi_quadratic,62,62,"autoarima, autoets, chronos, ewma, garch11, garch11_t, har, lgbm, moirai, timesfm","autoarima, autoets, chronos, ewma, garch11, garch11_t, har, lgbm, moirai, timesfm",False,,,"autoarima, autoets, chronos, ewma, garch11, garch11_t, har, lgbm, moirai, timesfm","autoarima, autoets, chronos, ewma, garch11, garch11_t, har, lgbm, moirai, timesfm",False,,
HSI,gjr,pinball_0p025,range,75,75,"autoarima, autoets, chronos, ewma, garch11, garch11_t, har, lgbm, moirai, timesfm","autoarima, autoets, chronos, ewma, garch11, garch11_t, har, lgbm, moirai, timesfm",False,,,"autoarima, autoets, chronos, ewma, garch11, garch11_t, har, lgbm, moirai, timesfm","autoarima, autoets, chronos, ewma, garch11_t, har, lgbm, moirai",True,,"garch11, timesfm"
HSI,gjr,pinball_0p025,semi_quadratic,75,75,"autoarima, autoets, chronos, ewma, garch11, garch11_t, har, lgbm, moirai, timesfm","autoarima, autoets, chronos, ewma, garch11, garch11_t, har, lgbm, moirai, timesfm",False,,,"autoarima, autoets, chronos, ewma, har, lgbm, moirai","autoarima, autoets, ewma, har, lgbm, moirai",True,,chronos
HSI,gjr,pinball_0p05,range,96,96,"autoarima, autoets, chronos, ewma, garch11, garch11_t, har, lgbm, moirai, timesfm","autoarima, autoets, chronos, ewma, garch11, garch11_t, har, moirai, timesfm",True,,lgbm,"autoarima, autoets, ewma, har, moirai","autoarima, autoets, ewma, har, moirai",False,,
HSI,gjr,pinball_0p05,semi_quadratic,96,96,"autoarima, autoets, ewma, garch11_t, har, moirai","autoarima, autoets, ewma, garch11_t, har, moirai",False,,,"autoarima, autoets, ewma, har, moirai","autoarima, autoets, ewma, har, moirai",False,,
HSI,gjr,pinball_avg,range,80,80,"autoarima, autoets, chronos, ewma, garch11, garch11_t, har, lgbm, moirai, timesfm","autoarima, autoets, chronos, ewma, garch11_t, har, lgbm, moirai, timesfm",True,,garch11,"autoarima, autoets, chronos, ewma, garch11_t, har, lgbm, moirai, timesfm","autoarima, autoets, chronos, ewma, garch11_t, har, lgbm, moirai, timesfm",False,,
HSI,gjr,pinball_avg,semi_quadratic,80,80,"autoarima, autoets, chronos, ewma, garch11, garch11_t, har, lgbm, moirai, timesfm","autoarima, autoets, chronos, ewma, garch11_t, har, lgbm, moirai, timesfm",True,,garch11,"autoarima, autoets, chronos, ewma, garch11_t, har, moirai","autoarima, autoets, ewma, garch11_t, har, moirai",True,,chronos
HSI,gjr,qlike,range,82,82,"autoarima, autoets, ewma, har, moirai","autoarima, autoets, ewma, har, moirai",False,,,moirai,moirai,False,,
HSI,gjr,qlike,semi_quadratic,82,82,"autoarima, autoets, ewma, har, moirai","autoarima, autoets, ewma, har, moirai",False,,,moirai,moirai,False,,
HSI,gjr,fz0_0p01,range,50,50,"autoarima, autoets, chronos, ewma, garch11_t, har, lgbm, moirai, timesfm","autoarima, autoets, chronos, ewma, garch11_t, har, lgbm, moirai, timesfm",False,,,"autoarima, autoets, chronos, ewma, garch11_t, har, lgbm, moirai, timesfm","autoarima, autoets, chronos, ewma, garch11_t, har, lgbm, moirai, timesfm",False,,
HSI,gjr,fz0_0p01,semi_quadratic,50,50,"autoarima, autoets, chronos, ewma, garch11, garch11_t, har, lgbm, moirai, timesfm","autoarima, autoets, chronos, ewma, garch11, garch11_t, har, lgbm, moirai, timesfm",False,,,"autoarima, autoets, chronos, ewma, garch11, garch11_t, har, lgbm, moirai, timesfm","autoarima, autoets, chronos, ewma, garch11_t, har, lgbm, moirai, timesfm",True,,garch11
HSI,gjr,fz0_0p025,range,58,58,"autoarima, autoets, chronos, ewma, garch11, garch11_t, har, lgbm, moirai, timesfm","autoarima, autoets, chronos, ewma, garch11, garch11_t, har, lgbm, moirai, timesfm",False,,,"autoarima, autoets, chronos, ewma, garch11_t, har, lgbm, moirai","autoarima, autoets, ewma, garch11_t, har, lgbm, moirai",True,,chronos
HSI,gjr,fz0_0p025,semi_quadratic,58,58,"autoarima, autoets, chronos, ewma, garch11, garch11_t, har, lgbm, moirai, timesfm","autoarima, autoets, chronos, ewma, garch11, garch11_t, har, lgbm, moirai, timesfm",False,,,"autoarima, autoets, chronos, ewma, garch11_t, har, lgbm, moirai","autoarima, autoets, chronos, ewma, garch11_t, har, lgbm, moirai",False,,
HSI,gjr,fz0_0p05,range,63,63,"autoarima, autoets, ewma, garch11, garch11_t, har, lgbm, moirai","autoarima, autoets, ewma, garch11, garch11_t, har, lgbm, moirai",False,,,"autoarima, autoets, ewma, garch11_t, har, moirai","autoarima, autoets, ewma, garch11_t, har, moirai",False,,
HSI,gjr,fz0_0p05,semi_quadratic,63,63,"autoarima, autoets, ewma, garch11, garch11_t, har, moirai","autoarima, autoets, ewma, garch11_t, har, moirai",True,,garch11,"autoarima, autoets, ewma, garch11_t, har, moirai","autoarima, autoets, ewma, garch11_t, har, moirai",False,,
HSI,gjr,fz0_avg,range,57,57,"autoarima, autoets, chronos, ewma, garch11_t, har, lgbm, moirai, timesfm","autoarima, autoets, chronos, ewma, garch11_t, har, lgbm, moirai, timesfm",False,,,"autoarima, autoets, ewma, garch11_t, har, lgbm, moirai","autoarima, autoets, ewma, garch11_t, har, lgbm, moirai",False,,
HSI,gjr,fz0_avg,semi_quadratic,57,57,"autoarima, autoets, chronos, ewma, garch11, garch11_t, har, lgbm, moirai, timesfm","autoarima, autoets, chronos, ewma, garch11, garch11_t, har, lgbm, moirai, timesfm",False,,,"autoarima, autoets, chronos, ewma, garch11_t, har, lgbm, moirai, timesfm","autoarima, autoets, chronos, ewma, garch11_t, har, lgbm, moirai",True,,timesfm
HSI,gjr,qlike_ex_near_zero,range,82,82,"autoarima, autoets, ewma, har, moirai","autoarima, autoets, ewma, har, moirai",False,,,moirai,moirai,False,,
HSI,gjr,qlike_ex_near_zero,semi_quadratic,82,82,"autoarima, autoets, ewma, har, moirai","autoarima, autoets, ewma, har, moirai",False,,,moirai,moirai,False,,
