asset,loss,model_a,model_b,origins,n_used,dropped
BTC-USD,crps,autoarima,autoarima,2791,2791,0
BTC-USD,crps,autoarima,autoets,2791,2791,0
BTC-USD,crps,autoarima,chronos,2791,2791,0
BTC-USD,crps,autoarima,ewma,2791,2791,0
BTC-USD,crps,autoarima,garch11,2791,2791,0
BTC-USD,crps,autoarima,garch11_t,2791,2791,0
BTC-USD,crps,autoarima,gjr,2791,2791,0
BTC-USD,crps,autoarima,har,2791,2791,0
BTC-USD,crps,autoarima,lgbm,2791,2791,0
BTC-USD,crps,autoarima,moirai,2791,2791,0
BTC-USD,crps,autoarima,naive,2791,2791,0
BTC-USD,crps,autoarima,patchtst,2791,2791,0
BTC-USD,crps,autoarima,timesfm,2791,2791,0
BTC-USD,crps,autoets,autoarima,2791,2791,0
BTC-USD,crps,autoets,autoets,2791,2791,0
BTC-USD,crps,autoets,chronos,2791,2791,0
BTC-USD,crps,autoets,ewma,2791,2791,0
BTC-USD,crps,autoets,garch11,2791,2791,0
BTC-USD,crps,autoets,garch11_t,2791,2791,0
BTC-USD,crps,autoets,gjr,2791,2791,0
BTC-USD,crps,autoets,har,2791,2791,0
BTC-USD,crps,autoets,lgbm,2791,2791,0
BTC-USD,crps,autoets,moirai,2791,2791,0
BTC-USD,crps,autoets,naive,2791,2791,0
BTC-USD,crps,autoets,patchtst,2791,2791,0
BTC-USD,crps,autoets,timesfm,2791,2791,0
BTC-USD,crps,chronos,autoarima,2791,2791,0
BTC-USD,crps,chronos,autoets,2791,2791,0
BTC-USD,crps,chronos,chronos,2791,2791,0
BTC-USD,crps,chronos,ewma,2791,2791,0
BTC-USD,crps,chronos,garch11,2791,2791,0
BTC-USD,crps,chronos,garch11_t,2791,2791,0
BTC-USD,crps,chronos,gjr,2791,2791,0
BTC-USD,crps,chronos,har,2791,2791,0
BTC-USD,crps,chronos,lgbm,2791,2791,0
BTC-USD,crps,chronos,moirai,2791,2791,0
BTC-USD,crps,chronos,naive,2791,2791,0
BTC-USD,crps,chronos,patchtst,2791,2791,0
BTC-USD,crps,chronos,timesfm,2791,2791,0
BTC-USD,crps,ewma,autoarima,2791,2791,0
BTC-USD,crps,ewma,autoets,2791,2791,0
BTC-USD,crps,ewma,chronos,2791,2791,0
BTC-USD,crps,ewma,ewma,2791,2791,0
BTC-USD,crps,ewma,garch11,2791,2791,0
BTC-USD,crps,ewma,garch11_t,2791,2791,0
BTC-USD,crps,ewma,gjr,2791,2791,0
BTC-USD,crps,ewma,har,2791,2791,0
BTC-USD,crps,ewma,lgbm,2791,2791,0
BTC-USD,crps,ewma,moirai,2791,2791,0
BTC-USD,crps,ewma,naive,2791,2791,0
BTC-USD,crps,ewma,patchtst,2791,2791,0
BTC-USD,crps,ewma,timesfm,2791,2791,0
BTC-USD,crps,garch11,autoarima,2791,2791,0
BTC-USD,crps,garch11,autoets,2791,2791,0
BTC-USD,crps,garch11,chronos,2791,2791,0
BTC-USD,crps,garch11,ewma,2791,2791,0
BTC-USD,crps,garch11,garch11,2791,2791,0
BTC-USD,crps,garch11,garch11_t,2791,2791,0
BTC-USD,crps,garch11,gjr,2791,2791,0
BTC-USD,crps,garch11,har,2791,2791,0
BTC-USD,crps,garch11,lgbm,2791,2791,0
BTC-USD,crps,garch11,moirai,2791,2791,0
BTC-USD,crps,garch11,naive,2791,2791,0
BTC-USD,crps,garch11,patchtst,2791,2791,0
BTC-USD,crps,garch11,timesfm,2791,2791,0
BTC-USD,crps,garch11_t,autoarima,2791,2791,0
BTC-USD,crps,garch11_t,autoets,2791,2791,0
BTC-USD,crps,garch11_t,chronos,2791,2791,0
BTC-USD,crps,garch11_t,ewma,2791,2791,0
BTC-USD,crps,garch11_t,garch11,2791,2791,0
BTC-USD,crps,garch11_t,garch11_t,2791,2791,0
BTC-USD,crps,garch11_t,gjr,2791,2791,0
BTC-USD,crps,garch11_t,har,2791,2791,0
BTC-USD,crps,garch11_t,lgbm,2791,2791,0
BTC-USD,crps,garch11_t,moirai,2791,2791,0
BTC-USD,crps,garch11_t,naive,2791,2791,0
BTC-USD,crps,garch11_t,patchtst,2791,2791,0
BTC-USD,crps,garch11_t,timesfm,2791,2791,0
BTC-USD,crps,gjr,autoarima,2791,2791,0
BTC-USD,crps,gjr,autoets,2791,2791,0
BTC-USD,crps,gjr,chronos,2791,2791,0
BTC-USD,crps,gjr,ewma,2791,2791,0
BTC-USD,crps,gjr,garch11,2791,2791,0
BTC-USD,crps,gjr,garch11_t,2791,2791,0
BTC-USD,crps,gjr,gjr,2791,2791,0
BTC-USD,crps,gjr,har,2791,2791,0
BTC-USD,crps,gjr,lgbm,2791,2791,0
BTC-USD,crps,gjr,moirai,2791,2791,0
BTC-USD,crps,gjr,naive,2791,2791,0
BTC-USD,crps,gjr,patchtst,2791,2791,0
BTC-USD,crps,gjr,timesfm,2791,2791,0
BTC-USD,crps,har,autoarima,2791,2791,0
BTC-USD,crps,har,autoets,2791,2791,0
BTC-USD,crps,har,chronos,2791,2791,0
BTC-USD,crps,har,ewma,2791,2791,0
BTC-USD,crps,har,garch11,2791,2791,0
BTC-USD,crps,har,garch11_t,2791,2791,0
BTC-USD,crps,har,gjr,2791,2791,0
BTC-USD,crps,har,har,2791,2791,0
BTC-USD,crps,har,lgbm,2791,2791,0
BTC-USD,crps,har,moirai,2791,2791,0
BTC-USD,crps,har,naive,2791,2791,0
BTC-USD,crps,har,patchtst,2791,2791,0
BTC-USD,crps,har,timesfm,2791,2791,0
BTC-USD,crps,lgbm,autoarima,2791,2791,0
BTC-USD,crps,lgbm,autoets,2791,2791,0
BTC-USD,crps,lgbm,chronos,2791,2791,0
BTC-USD,crps,lgbm,ewma,2791,2791,0
BTC-USD,crps,lgbm,garch11,2791,2791,0
BTC-USD,crps,lgbm,garch11_t,2791,2791,0
BTC-USD,crps,lgbm,gjr,2791,2791,0
BTC-USD,crps,lgbm,har,2791,2791,0
BTC-USD,crps,lgbm,lgbm,2791,2791,0
BTC-USD,crps,lgbm,moirai,2791,2791,0
BTC-USD,crps,lgbm,naive,2791,2791,0
BTC-USD,crps,lgbm,patchtst,2791,2791,0
BTC-USD,crps,lgbm,timesfm,2791,2791,0
BTC-USD,crps,moirai,autoarima,2791,2791,0
BTC-USD,crps,moirai,autoets,2791,2791,0
BTC-USD,crps,moirai,chronos,2791,2791,0
BTC-USD,crps,moirai,ewma,2791,2791,0
BTC-USD,crps,moirai,garch11,2791,2791,0
BTC-USD,crps,moirai,garch11_t,2791,2791,0
BTC-USD,crps,moirai,gjr,2791,2791,0
BTC-USD,crps,moirai,har,2791,2791,0
BTC-USD,crps,moirai,lgbm,2791,2791,0
BTC-USD,crps,moirai,moirai,2791,2791,0
BTC-USD,crps,moirai,naive,2791,2791,0
BTC-USD,crps,moirai,patchtst,2791,2791,0
BTC-USD,crps,moirai,timesfm,2791,2791,0
BTC-USD,crps,naive,autoarima,2791,2791,0
BTC-USD,crps,naive,autoets,2791,2791,0
BTC-USD,crps,naive,chronos,2791,2791,0
BTC-USD,crps,naive,ewma,2791,2791,0
BTC-USD,crps,naive,garch11,2791,2791,0
BTC-USD,crps,naive,garch11_t,2791,2791,0
BTC-USD,crps,naive,gjr,2791,2791,0
BTC-USD,crps,naive,har,2791,2791,0
BTC-USD,crps,naive,lgbm,2791,2791,0
BTC-USD,crps,naive,moirai,2791,2791,0
BTC-USD,crps,naive,naive,2791,2791,0
BTC-USD,crps,naive,patchtst,2791,2791,0
BTC-USD,crps,naive,timesfm,2791,2791,0
BTC-USD,crps,patchtst,autoarima,2791,2791,0
BTC-USD,crps,patchtst,autoets,2791,2791,0
BTC-USD,crps,patchtst,chronos,2791,2791,0
BTC-USD,crps,patchtst,ewma,2791,2791,0
BTC-USD,crps,patchtst,garch11,2791,2791,0
BTC-USD,crps,patchtst,garch11_t,2791,2791,0
BTC-USD,crps,patchtst,gjr,2791,2791,0
BTC-USD,crps,patchtst,har,2791,2791,0
BTC-USD,crps,patchtst,lgbm,2791,2791,0
BTC-USD,crps,patchtst,moirai,2791,2791,0
BTC-USD,crps,patchtst,naive,2791,2791,0
BTC-USD,crps,patchtst,patchtst,2791,2791,0
BTC-USD,crps,patchtst,timesfm,2791,2791,0
BTC-USD,crps,timesfm,autoarima,2791,2791,0
BTC-USD,crps,timesfm,autoets,2791,2791,0
BTC-USD,crps,timesfm,chronos,2791,2791,0
BTC-USD,crps,timesfm,ewma,2791,2791,0
BTC-USD,crps,timesfm,garch11,2791,2791,0
BTC-USD,crps,timesfm,garch11_t,2791,2791,0
BTC-USD,crps,timesfm,gjr,2791,2791,0
BTC-USD,crps,timesfm,har,2791,2791,0
BTC-USD,crps,timesfm,lgbm,2791,2791,0
BTC-USD,crps,timesfm,moirai,2791,2791,0
BTC-USD,crps,timesfm,naive,2791,2791,0
BTC-USD,crps,timesfm,patchtst,2791,2791,0
BTC-USD,crps,timesfm,timesfm,2791,2791,0
BTC-USD,log_score,autoarima,autoarima,2791,2791,0
BTC-USD,log_score,autoarima,autoets,2791,2791,0
BTC-USD,log_score,autoarima,chronos,2791,2791,0
BTC-USD,log_score,autoarima,ewma,2791,2791,0
BTC-USD,log_score,autoarima,garch11,2791,2791,0
BTC-USD,log_score,autoarima,garch11_t,2791,2791,0
BTC-USD,log_score,autoarima,gjr,2791,2791,0
BTC-USD,log_score,autoarima,har,2791,2791,0
BTC-USD,log_score,autoarima,lgbm,2791,2791,0
BTC-USD,log_score,autoarima,moirai,2791,2791,0
BTC-USD,log_score,autoarima,naive,2791,2791,0
BTC-USD,log_score,autoarima,patchtst,2791,2791,0
BTC-USD,log_score,autoarima,timesfm,2791,2791,0
BTC-USD,log_score,autoets,autoarima,2791,2791,0
BTC-USD,log_score,autoets,autoets,2791,2791,0
BTC-USD,log_score,autoets,chronos,2791,2791,0
BTC-USD,log_score,autoets,ewma,2791,2791,0
BTC-USD,log_score,autoets,garch11,2791,2791,0
BTC-USD,log_score,autoets,garch11_t,2791,2791,0
BTC-USD,log_score,autoets,gjr,2791,2791,0
BTC-USD,log_score,autoets,har,2791,2791,0
BTC-USD,log_score,autoets,lgbm,2791,2791,0
BTC-USD,log_score,autoets,moirai,2791,2791,0
BTC-USD,log_score,autoets,naive,2791,2791,0
BTC-USD,log_score,autoets,patchtst,2791,2791,0
BTC-USD,log_score,autoets,timesfm,2791,2791,0
BTC-USD,log_score,chronos,autoarima,2791,2791,0
BTC-USD,log_score,chronos,autoets,2791,2791,0
BTC-USD,log_score,chronos,chronos,2791,2791,0
BTC-USD,log_score,chronos,ewma,2791,2791,0
BTC-USD,log_score,chronos,garch11,2791,2791,0
BTC-USD,log_score,chronos,garch11_t,2791,2791,0
BTC-USD,log_score,chronos,gjr,2791,2791,0
BTC-USD,log_score,chronos,har,2791,2791,0
BTC-USD,log_score,chronos,lgbm,2791,2791,0
BTC-USD,log_score,chronos,moirai,2791,2791,0
